"TOA5","UPR - GIZ University of Pretoria","Latitude: -25.75308","Longitude: 28.22859","Elevation: 1410 m",,,SAURAN
"Date","RecNum","GHI_CMP11","DNI_CHP1","DHI_CMP11","Air_Temp","BP","RH","Rain_Tot","WS","WD","WD_SD"
"TS","RN","W/m^2","W/m^2","W/m^2","Deg C","mbar","%","mm","meters/second","Deg","Deg"
"","","Avg","Avg","Avg","Avg","Avg","Smp","Tot","WVc","WVc","WVc"
2018-06-01 00:00,38466,0,0,0,11.04,864,93.4,0,0.678,126.4,14.64
2018-06-01 01:00,38467,0,0,0,10.99,864,92.6,0,0.593,125.1,13.57
2018-06-01 02:00,38468,0,0,0,10.65,864,93.4,0,0.345,167.6,27.62
2018-06-01 03:00,38469,0,0,0,9.67,864,94.5,0,0.048,272.8,6.595
2018-06-01 04:00,38470,0,0,0,8.91,864,93.9,0,0.112,275.5,10.6
2018-06-01 05:00,38471,0,0,0,8.29,864,93,0,0.196,271.9,13.92
2018-06-01 06:00,38472,0,0.0926377,0.0239205,8.66,864,94.9,0,0.471,212.1,23.02
2018-06-01 07:00,38473,1.56466,0.151872,1.54771,9.69,864,96,0,0.832,215.9,19.27
2018-06-01 08:00,38474,34.734,0.342163,34.5679,10.64,864,96.1,0,0.792,236.9,28.79
2018-06-01 09:00,38475,114.412,0.533677,114.006,11.48,865,94.4,0,1.555,236.8,25.23
2018-06-01 10:00,38476,270.847,41.5935,246.521,12.68,865,84.2,0,1.856,230.5,30.26
2018-06-01 11:00,38477,527.683,405.736,281.407,15.68,865,71.64,0,1.345,239.5,36.55
2018-06-01 12:00,38478,619.028,665.183,184.337,16.89,865,69.81,0,0.813,222.4,63.73
2018-06-01 13:00,38479,679.547,782.627,165.415,18.18,864,59.04,0,0.865,263.3,52.66
2018-06-01 14:00,38480,607.926,778.669,91.0884,19.19,864,52.71,0,1.16,265.3,56.08
2018-06-01 15:00,38481,492.318,829.632,80.1889,20.38,863,51.2,0,0.951,260.3,56.66
2018-06-01 16:00,38482,323.931,733.75,64.2221,20.13,863,50.84,0,1.381,279.9,47.56
2018-06-01 17:00,38483,131.383,526.264,36.2812,19.21,863,54.38,0,1.758,291.3,34.7
2018-06-01 18:00,38484,6.96107,67.9913,3.69729,17.08,864,65.24,0,1.881,294.9,19.78
2018-06-01 19:00,38485,0,0,0,15.63,864,70.71,0,0.604,304.3,15.78
2018-06-01 20:00,38486,0,0,0,14.64,865,74.21,0,0.351,196.2,15.27
2018-06-01 21:00,38487,0,0,0,13.7,865,75.24,0,1.494,197.1,21.47
2018-06-01 22:00,38488,0,0,0,12.96,866,76.3,0,0.907,180.7,17.16
2018-06-01 23:00,38489,0,0,0,12.53,866,49.49,0,0.818,162.5,25.37
2018-06-02 00:00,38490,0,0,0,11.92,866,45.12,0,0.718,161.7,31.42
2018-06-02 01:00,38491,0,0,0,11.53,867,48.72,0,0.972,131.4,31.87
2018-06-02 02:00,38492,0,0,0,10.81,867,46.45,0,1.098,126,25.96
2018-06-02 03:00,38493,0,0,0,9.49,867,55.55,0,0.22,140.9,30.12
2018-06-02 04:00,38494,0,0,0,8.29,867,63.92,0,0.156,335.5,26.16
2018-06-02 05:00,38495,0,0,0,7.457,866,68.19,0,0.253,348.5,24.04
2018-06-02 06:00,38496,0,0,0,6.549,867,70.41,0,0.237,133.6,31.7
2018-06-02 07:00,38497,2.59769,49.417,1.18428,6.21,867,67.44,0,0.375,275,21.07
2018-06-02 08:00,38498,115.322,649.041,19.3265,9.2,867,56.03,0,0.098,21.72,24.6
2018-06-02 09:00,38499,318.71,890.842,31.6761,11.46,868,43.33,0,0.594,78.59,18.56
2018-06-02 10:00,38500,500.998,978.471,37.8544,14.99,869,30.75,0,1.036,99.1,25.39
2018-06-02 11:00,38501,637.008,1012.75,44.8154,16.7,868,22.61,0,2.582,113.1,26.37
2018-06-02 12:00,38502,705.994,1022.56,47.1623,18.11,868,26.1,0,2.395,82.6,25.55
2018-06-02 13:00,38503,706.729,1009.13,51.5863,19.62,867,22.31,0,2.18,46.33,22.89
2018-06-02 14:00,38504,644.287,999.718,46.2366,21.22,866,18.32,0,1.528,26.32,42.24
2018-06-02 15:00,38505,519.98,961.846,41.9267,22.04,866,16.67,0,1.389,352.2,30.87
2018-06-02 16:00,38506,345.826,881.338,35.8483,21.81,866,18.31,0,1.946,342.9,25.68
2018-06-02 17:00,38507,140.176,643.201,25.4856,21.07,866,23.51,0,2.109,328.6,20.92
2018-06-02 18:00,38508,6.9445,84.8804,2.89862,18.8,866,27.48,0,3.174,328.1,13.07
2018-06-02 19:00,38509,0,0,0,16.71,867,34.59,0,1.056,292.1,43.48
2018-06-02 20:00,38510,0,0,0,15.85,867,36.83,0,0.552,267.7,27.96
2018-06-02 21:00,38511,0,0,0,14.7,868,37.36,0,0.257,165,23.8
2018-06-02 22:00,38512,0,0,0,13.83,868,42.06,0,0.884,229.9,22.07
2018-06-02 23:00,38513,0,0,0,13.25,868,43.89,0,1.079,218.5,18.33
2018-06-03 00:00,38514,0,0,0,11.97,868,53.37,0,0.43,281.8,10.42
2018-06-03 01:00,38515,0,0,0,9.92,868,60.03,0,0.637,308.7,26
2018-06-03 02:00,38516,0,0,0,9.3,868,51.17,0,0.607,107.8,12.32
2018-06-03 03:00,38517,0,0,0,9.73,868,51.36,0,1.049,121.7,19.74
2018-06-03 04:00,38518,0,0,0,8.75,868,64.51,0,0.224,178,16.58
2018-06-03 05:00,38519,0,0,0,7.993,868,59.47,0,0.698,118.3,26.44
2018-06-03 06:00,38520,0,0,0,8.18,868,67.76,0,0.884,242,42.94
2018-06-03 07:00,38521,2.21219,29.2794,1.27093,6.734,868,65.53,0,0.333,267.5,37.57
2018-06-03 08:00,38522,109.212,582.103,22.4925,10.29,868,52.59,0,0.284,218.1,26.87
2018-06-03 09:00,38523,307.232,843.241,36.2731,14.44,869,41.67,0,0.202,224.1,17.97
2018-06-03 10:00,38524,488.041,937.184,44.4424,18.22,869,35.73,0,0.167,251.2,32.53
2018-06-03 11:00,38525,614.601,959.688,53.7468,19.02,869,32.25,0,0.388,253.2,48.75
2018-06-03 12:00,38526,680.701,953.309,66.4472,19.78,869,30.63,0,1.153,284.6,50.23
2018-06-03 13:00,38527,697.914,989.114,55.1626,21.12,868,21.75,0,0.768,246.7,61.21
2018-06-03 14:00,38528,626.382,950.324,57.359,22.22,868,20.28,0,0.737,239.5,59.9
2018-06-03 15:00,38529,503.735,912.043,50.079,22.95,867,21.78,0,0.752,218.2,49.3
2018-06-03 16:00,38530,328.754,809.917,43.5218,22.95,867,24.47,0,0.946,282.9,51.12
2018-06-03 17:00,38531,133.116,567.766,31.2245,21.17,867,28.38,0,1.859,291.1,31.17
2018-06-03 18:00,38532,6.841,74.1736,3.25494,19.05,867,35.53,0,0.369,277,20.37
2018-06-03 19:00,38533,0,0,0,16.72,868,39.58,0,1.014,208,30.34
2018-06-03 20:00,38534,0,0,0,15.85,868,27.98,0,2.883,184.1,12.87
2018-06-03 21:00,38535,0,0,0,15.52,869,26.41,0,2.976,187.7,15.08
2018-06-03 22:00,38536,0,0,0,14.95,869,26.04,0,2.615,167.7,21.85
2018-06-03 23:00,38537,0,0,0,14.36,869,26.88,0,2.733,164.2,23.93
2018-06-04 00:00,38538,0,0,0,13.86,869,28.43,0,2.952,173.8,20.87
2018-06-04 01:00,38539,0,0,0,12.37,868,31.58,0,1.054,199.7,26.19
2018-06-04 02:00,38540,0,0,0,12.01,868,32.62,0,2.989,179.9,18.53
2018-06-04 03:00,38541,0,0,0,11.16,868,33.39,0,1.688,173.9,22.17
2018-06-04 04:00,38542,0,0,0,11.03,868,33.37,0,1.4,147.9,42.09
2018-06-04 05:00,38543,0,0,0,10.71,868,35.05,0,0.926,44.67,48.82
2018-06-04 06:00,38544,0,0,0,10.09,869,40.27,0,2.277,107.5,35.09
2018-06-04 07:00,38545,2.26134,34.0851,1.22744,8.31,869,55.55,0,1.219,147.5,42.12
2018-06-04 08:00,38546,109.859,589.259,23.755,8.19,870,67.95,0,1.46,142,38.37
2018-06-04 09:00,38547,306.122,806.749,48.4416,9.69,870,70.66,0,1.387,148,48.78
2018-06-04 10:00,38548,482.459,888.474,63.0337,12.53,870,60.98,0,2.798,128.1,37.95
2018-06-04 11:00,38549,608.736,914.785,76.8303,14.49,871,58.54,0,3.23,118.9,29.53
2018-06-04 12:00,38550,674.667,908.869,90.9401,15.62,871,49.42,0,3.786,110.7,30.19
2018-06-04 13:00,38551,678.208,913.615,87.0928,16.72,870,41.94,0,3.663,106,28.04
2018-06-04 14:00,38552,599.982,859.721,86.2394,18,870,36.55,0,2.753,106.5,32.45
2018-06-04 15:00,38553,476.593,798.727,80.4749,18.51,869,35.88,0,2.504,92.9,32.62
2018-06-04 16:00,38554,314.61,720.29,61.3165,18.77,869,33.76,0,1.646,101.3,38.6
2018-06-04 17:00,38555,119.908,457.147,37.1657,18.54,869,36.1,0,1.299,73.33,31.83
2018-06-04 18:00,38556,5.22878,37.7126,3.39872,17.14,870,39.91,0,0.786,109.9,24.15
