"TOA5","UPR - GIZ University of Pretoria","Latitude: -25.75308","Longitude: 28.22859","Elevation: 1410 m",,,SAURAN
"Date","RecNum","GHI_CMP11","DNI_CHP1","DHI_CMP11","Air_Temp","BP","RH","Rain_Tot","WS","WD","WD_SD"
"TS","RN","W/m^2","W/m^2","W/m^2","Deg C","mbar","%","mm","meters/second","Deg","Deg"
"","","Avg","Avg","Avg","Avg","Avg","Smp","Tot","WVc","WVc","WVc"
2019-02-03 00:00,44312,0,0,0,20.56,864,86,0,0.202,47.31,27.24
2019-02-03 01:00,44313,0,0,0,20.1,864,87.8,0,0.027,210,3.783
2019-02-03 02:00,44314,0,0,0,19.73,863,87.3,0,0.953,108.5,17.98
2019-02-03 03:00,44315,0,0,0,19.53,863,86.5,0,1.949,106.9,23.68
2019-02-03 04:00,44316,0,0,0,19.04,863,86.5,0,2.14,101.7,18.59
2019-02-03 05:00,44317,0,0,0,19.18,863,82.9,0,2.046,70.84,22.18
2019-02-03 06:00,44318,2.16157,0.0413378,2.15705,18.81,863,83.3,0,2.379,72.56,15.92
2019-02-03 07:00,44319,77.8904,112.669,53.1678,18.81,862,81.1,0,2.917,66.34,18.39
2019-02-03 08:00,44320,307.284,531.235,105.849,20.09,863,75.08,0,3.136,25.77,24.51
2019-02-03 09:00,44321,555.128,699.588,153.128,21.07,863,72,0,4.017,24.49,22.59
2019-02-03 10:00,44322,731.63,513.535,362.178,22.29,863,66.47,0,3.949,21.65,27.39
2019-02-03 11:00,44323,836.782,400.755,490.069,23.47,863,60.24,0,3.578,0.556,33.12
2019-02-03 12:00,44324,491.091,31.4758,465.129,23.96,863,60.75,0,3.109,330.6,29.33
2019-02-03 13:00,44325,682.379,270.659,423.966,25,863,52.67,0,2.522,341,33.85
2019-02-03 14:00,44326,627.776,186.472,458.387,26.06,862,54.96,0,2.708,324.4,38.9
2019-02-03 15:00,44327,339.86,5.3244,337.905,26.49,861,53.05,0,1.423,282.8,46.45
2019-02-03 16:00,44328,442.504,103.654,377.65,26.69,860,55.1,0,1.415,270.3,47.47
2019-02-03 17:00,44329,425.335,303.123,271.951,26.77,860,55.37,0,1.927,287.2,40.58
2019-02-03 18:00,44330,156.519,110.488,118.012,26.28,860,52.29,0,2.098,291.9,32.66
2019-02-03 19:00,44331,63.6253,121.39,49.4731,25.9,860,55.56,0,1.589,283.1,27.5
2019-02-03 20:00,44332,0.219324,0,0.233333,24.48,860,68.75,0,2.459,316.5,37.18
2019-02-03 21:00,44333,0,0,0,22.43,861,71.08,0,3.078,36.42,18.13
2019-02-03 22:00,44334,0,0,0,21.85,861,74.74,0,1.777,96.5,26.79
2019-02-03 23:00,44335,0,0,0,21.22,861,76.12,0,2.066,103.2,19.48
2019-02-04 00:00,44336,0,0,0,21.02,861,75.45,0,2.113,85.7,22.91
2019-02-04 01:00,44337,0,0,0,20.63,861,78.1,0,3.084,57.03,16.78
2019-02-04 02:00,44338,0,0,0,20.13,860,79.28,0,3.062,52.01,20.75
2019-02-04 03:00,44339,0.529575,0.0277176,0.533816,18.79,860,94.7,27.43,3.055,71.85,66.32
2019-02-04 04:00,44340,0.00811013,0,0,17.66,861,96.4,2.794,0.996,113.8,27.29
2019-02-04 05:00,44341,0.000488605,0,0,17.23,861,95.8,0,2.468,61.53,20.48
2019-02-04 06:00,44342,0.494468,0,0.467577,17.19,861,94.9,0,2.719,74.93,32.51
2019-02-04 07:00,44343,42.9474,0.00587172,42.7966,17.67,861,94.2,0,1.415,123.3,24.78
2019-02-04 08:00,44344,221.44,126.558,167.854,18.54,862,88.4,0,1.364,36.36,30.3
2019-02-04 09:00,44345,391.563,199.797,274.785,18.63,862,85.7,0,3.338,10.21,31.91
2019-02-04 10:00,44346,560.645,253.123,373.77,19.66,862,75.69,0,2.744,340.1,34.72
2019-02-04 11:00,44347,574.112,130.736,462.609,20.9,862,70.87,0,2.419,333.7,35.41
2019-02-04 12:00,44348,669.345,138.197,540.911,22.49,862,64.13,0,2.245,312,33.56
2019-02-04 13:00,44349,614.45,80.0538,540.94,23.54,862,58.29,0,2.303,300.4,35.77
2019-02-04 14:00,44350,620.624,117.844,514.125,23.89,861,60.44,0,2.807,303.2,30.3
2019-02-04 15:00,44351,464.187,53.5786,421.523,24.27,861,56.4,0,2.019,296.3,37.81
2019-02-04 16:00,44352,327.453,12.5094,319.692,23.84,860,62.11,0,3.074,312.5,28.99
2019-02-04 17:00,44353,234.052,11.643,229.337,23.58,860,65.02,0,2.689,322,27.11
2019-02-04 18:00,44354,131.126,5.34083,129.575,23.07,860,66.85,0,3.059,327.2,23.55
2019-02-04 19:00,44355,51.096,142.675,36.1251,22.84,860,68.04,0,1.951,340.3,25.85
2019-02-04 20:00,44356,0.13457,0,0.152399,22.33,861,70.46,0,0.79,355.9,33.16
2019-02-04 21:00,44357,0,0,0,22,861,69.21,0,1.148,301.1,19.93
2019-02-04 22:00,44358,0,0,0,21.37,862,76.33,0,0.552,269.1,39.95
2019-02-04 23:00,44359,0,0,0,20.95,862,76.51,0,0.27,50.13,19.38
2019-02-05 00:00,44360,0,0,0,20.49,862,79.71,0,0.365,77.92,31.67
2019-02-05 01:00,44361,0,0,0,20.06,862,82,0,0.149,107.1,15.12
2019-02-05 02:00,44362,0,0,0,19.68,862,81.6,0,1.034,121,15.14
2019-02-05 03:00,44363,0,0,0,19.4,862,81.6,0,2.222,118.2,19.36
2019-02-05 04:00,44364,0,0,0,19.06,862,81.2,0,2.825,128,25.15
2019-02-05 05:00,44365,0,0,0,18.12,863,79.3,0,3.445,126.2,24.98
2019-02-05 06:00,44366,1.52103,0,1.53085,17.73,863,80.3,0,3.609,112.8,24.26
2019-02-05 07:00,44367,66.5483,0.6868,66.3976,18.02,863,78.33,0,3.046,123.3,23.67
2019-02-05 08:00,44368,220.098,63.0016,193.769,19.21,864,74.13,0,3.173,112.3,29.61
2019-02-05 09:00,44369,452.872,280.209,285.805,20.57,865,71.67,0,3.793,95.9,20.11
2019-02-05 10:00,44370,576.712,259.182,385.417,21.47,865,71.21,0,3.622,73.92,35.66
2019-02-05 11:00,44371,759.738,307.22,502.986,22.25,865,64.54,0,4.05,45.51,24.42
2019-02-05 12:00,44372,573.318,144.899,440.802,22.66,865,58.86,0,3.409,17.81,31.12
2019-02-05 13:00,44373,840.822,395.072,462.664,23.72,864,60.19,0,3.927,39.97,29.22
2019-02-05 14:00,44374,752.572,283.811,492.801,24.4,864,53.74,0,2.912,28.34,31.98
2019-02-05 15:00,44375,265.449,2.04419,265.04,23.71,863,61.15,0,3.482,11.55,25.04
2019-02-05 16:00,44376,275.451,1.51656,275.34,23.36,863,61.18,0,3.367,8.12,24.39
2019-02-05 17:00,44377,383.032,322.026,231.056,23.88,863,56,0,2.134,349.2,28.16
2019-02-05 18:00,44378,272.547,522.393,104.543,24.65,862,53.64,0,1.486,344.1,39.46
2019-02-05 19:00,44379,52.9561,93.4505,41.9664,23.98,862,57.67,0,1.875,311.5,26.06
2019-02-05 20:00,44380,0,0,0,22.94,863,58.7,0,1.804,357.2,13.2
2019-02-05 21:00,44381,0,0,0,22.5,863,62.33,0,0.213,31.65,12.36
2019-02-05 22:00,44382,0,0,0,22.12,864,65.68,0,0.765,67.95,22.24
2019-02-05 23:00,44383,0,0,0,20.74,864,74.95,0,2.242,87.7,24.72
2019-02-06 00:00,44384,0,0,0,19.72,864,79.22,0,3.466,42.96,17.79
2019-02-06 01:00,44385,0,0,0,18.83,864,80.3,0,3.513,44.4,17.8
2019-02-06 02:00,44386,0,0,0,18.37,864,79.71,0,3.66,52.71,16.78
2019-02-06 03:00,44387,0,0,0,18.04,864,79.74,0,2.928,55.64,18.89
2019-02-06 04:00,44388,0,0,0,17.86,864,80.1,0,2.512,61.32,17.82
2019-02-06 05:00,44389,0,0,0,17.75,864,80,0,2.717,69.83,15.87
2019-02-06 06:00,44390,1.80588,0.898498,1.78825,17.49,864,81.6,0,2.036,96.5,18.51
2019-02-06 07:00,44391,107.741,239.108,60.7551,18.15,864,75.24,0,1.685,98.7,20.34
2019-02-06 08:00,44392,297.915,323.74,185.791,19.54,864,72.79,0,2.016,63.08,32.4
2019-02-06 09:00,44393,518.335,429.383,269.561,20.66,865,68.05,0,2.043,27.07,34.63
2019-02-06 10:00,44394,653.371,474.393,302.768,21.85,865,64.07,0,1.966,5.129,41.48
2019-02-06 11:00,44395,919.734,686.456,326.008,24.09,865,59.45,0,1.291,316.7,43.52
2019-02-06 12:00,44396,666.749,178.937,499.255,24.42,865,55.4,0,1.328,323.9,47.72
2019-02-06 13:00,44397,859.979,331.646,541.963,26.51,864,51.29,0,1.032,345.3,56.2
2019-02-06 14:00,44398,591.387,152.65,454.169,26.61,863,49.91,0,1.422,359.6,49.11
2019-02-06 15:00,44399,819.026,610.977,300.042,27.41,863,46.93,0,1.578,317.4,36.85
2019-02-06 16:00,44400,470.356,291.729,265.061,27.13,862,46.18,0,1.499,341.3,44.1
2019-02-06 17:00,44401,336.409,264.634,191.527,27.42,861,48.85,0,1.034,317.1,40.02
